region,nature,type,text_annonce,prix,modified_date,lien
Sidi Thabet,Vente,Maisons,Sidi thabet vnt villa,470 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3382981
Ariana Essoughr,Vente,App. 4 pièc,Ariana soghra vnt s3 135m2,360 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3315661
Cite El Ghazala,Vente,App. 4 pièc,La ghazelle vnt s3 ref 2,290 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385945
Sidi Bousaid,Location,Duplex,Duplex s3 avec terrasses,2 800,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3238047
Marsa Safsaf,Location,App. 3 pièc,Appartement meuble haut,3 900,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3384178
Sidi Daoud,Location,Maisons,Villa jumelée ssd c,4 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3146416
Gammart,Location,Maisons,Villa  gammarth,8 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3150439
Sidi Daoud,Location,App. 3 pièc,Etage de villa s2,1 500,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3349162
Cartage Byrsa,Location,Maisons,Villa s4 a carthage,6 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3349154
Marsa Ennassim,Location,App. 4 pièc,Appart s3 avec jardin a,4 800,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3332385
Gammart,Location,App. 3 pièc,Appartement s2 rdc avec,1 900,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3280027
Marsa Safsaf,Location,Maisons,Triplex s3 meublé à la m,4 200,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3311400
La Soukra,Vente,Maisons,Bonne occasion,40 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389084
Khaznadar,Vente,Duplex,Bonne occasion bardo,12 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389085
Chouchet Rades,Terrain,Terrain nu,Lot de terrain  à chouchet ra,320 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3302366
El Manar 1,Location,Maisons,Villa s8 avec jardin à m,4 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390280
